Contract Month,Last,Change,Open Interest,FALSE,1,3-Jan-17
December,520,unc,1782,TRUE,15,12-Sep-16
January,515,unc,1197,TRUE,15,12-Sep-16
February,515,unc,1155,TRUE,15,12-Sep-16
March,515,unc,1043,TRUE,15,12-Sep-16
April,515,unc,904,TRUE,15,12-Sep-16
May,515,unc,898,TRUE,15,12-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,16,13-Sep-16
September,550,unc,1996,TRUE,16,13-Sep-16
October,520,unc,2429,TRUE,16,13-Sep-16
November,520,unc,1991,TRUE,16,13-Sep-16
December,520,unc,1782,TRUE,16,13-Sep-16
January,518,3,1197,TRUE,16,13-Sep-16
February,518,3,1155,TRUE,16,13-Sep-16
March,518,3,1043,TRUE,16,13-Sep-16
April,515,unc,904,TRUE,16,13-Sep-16
May,515,unc,898,TRUE,16,13-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,17,16-Sep-16
September,545,-5,1996,TRUE,17,16-Sep-16
October,512,-8,2488,TRUE,17,16-Sep-16
November,512,-8,2007,TRUE,17,16-Sep-16
December,512,-8,1790,TRUE,17,16-Sep-16
January,518,-8,1249,TRUE,17,16-Sep-16
February,518,-8,1233,TRUE,17,16-Sep-16
March,518,-8,1120,TRUE,17,16-Sep-16
April,510,-5,980,TRUE,17,16-Sep-16
May,510,-5,973,TRUE,17,16-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,18,20-Sep-16
September,545,unc,1996,TRUE,18,20-Sep-16
October,512,unc,2488,TRUE,18,20-Sep-16
November,512,unc,2007,TRUE,18,20-Sep-16
December,512,unc,1790,TRUE,18,20-Sep-16
January,510,unc,1249,TRUE,18,20-Sep-16
February,510,unc,1233,TRUE,18,20-Sep-16
March,510,unc,1120,TRUE,18,20-Sep-16
April,510,unc,980,TRUE,18,20-Sep-16
May,510,unc,973,TRUE,18,20-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,19,21-Sep-16
September,545,unc,1996,TRUE,19,21-Sep-16
October,505,-7,2455,TRUE,19,21-Sep-16
November,505,-7,1989,TRUE,19,21-Sep-16
December,505,-7,1792,TRUE,19,21-Sep-16
January,503,-7,1269,TRUE,19,21-Sep-16
February,503,-7,1233,TRUE,19,21-Sep-16
March,503,-7,1120,TRUE,19,21-Sep-16
April,503,-7,1008,TRUE,19,21-Sep-16
May,503,-7,1001,TRUE,19,21-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,20,22-Sep-16
September,542,-3,1996,TRUE,20,22-Sep-16
October,502,-3,2455,TRUE,20,22-Sep-16
November,502,-3,1989,TRUE,20,22-Sep-16
December,502,-3,1792,TRUE,20,22-Sep-16
January,500,-3,1274,TRUE,20,22-Sep-16
February,498,-5,1248,TRUE,20,22-Sep-16
March,498,-5,1125,TRUE,20,22-Sep-16
April,495,-8,1008,TRUE,20,22-Sep-16
May,494,-9,991,TRUE,20,22-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,21,26-Sep-16
September,542,unc,1996,TRUE,21,26-Sep-16
October,502,unc,2455,TRUE,21,26-Sep-16
November,502,unc,1989,TRUE,21,26-Sep-16
December,502,unc,1792,TRUE,21,26-Sep-16
January,498,-2,1274,TRUE,21,26-Sep-16
February,497,-1,1248,TRUE,21,26-Sep-16
March,496,-2,1125,TRUE,21,26-Sep-16
April,495,unc,1008,TRUE,21,26-Sep-16
May,495,1,991,TRUE,21,26-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,22,28-Sep-16
October,502,unc,2450,TRUE,22,28-Sep-16
November,501,-1,1989,TRUE,22,28-Sep-16
December,498,-4,1792,TRUE,22,28-Sep-16
January,497,-1,1274,TRUE,22,28-Sep-16
February,496,-1,1248,TRUE,22,28-Sep-16
March,495,-1,1125,TRUE,22,28-Sep-16
April,494,-1,1008,TRUE,22,28-Sep-16
May,494,-1,991,TRUE,22,28-Sep-16
June,494,-1,971,TRUE,22,28-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,23,29-Sep-16
October,495,-7,2450,TRUE,23,29-Sep-16
November,495,-6,2017,TRUE,23,29-Sep-16
December,495,-3,1820,TRUE,23,29-Sep-16
January,494,-3,1302,TRUE,23,29-Sep-16
February,494,-2,1263,TRUE,23,29-Sep-16
March,494,-1,1140,TRUE,23,29-Sep-16
April,493,-1,1033,TRUE,23,29-Sep-16
May,493,-1,1016,TRUE,23,29-Sep-16
June,493,-1,971,TRUE,23,29-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,24,4-Oct-16
October,496,unc,2495,TRUE,24,4-Oct-16
November,490,unc,2162,TRUE,24,4-Oct-16
December,486,unc,1905,TRUE,24,4-Oct-16
January,485,-5,1367,TRUE,24,4-Oct-16
February,485,-5,1328,TRUE,24,4-Oct-16
March,485,-5,1205,TRUE,24,4-Oct-16
April,485,-5,1063,TRUE,24,4-Oct-16
May,485,-5,1046,TRUE,24,4-Oct-16
June,485,-7,996,TRUE,24,4-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,25,6-Oct-16
October,491,-5,2490,TRUE,25,6-Oct-16
November,490,unc,2162,TRUE,25,6-Oct-16
December,486,unc,1905,TRUE,25,6-Oct-16
January,488,3,1375,TRUE,25,6-Oct-16
February,488,3,1328,TRUE,25,6-Oct-16
March,488,3,1205,TRUE,25,6-Oct-16
April,488,3,1063,TRUE,25,6-Oct-16
May,488,3,1046,TRUE,25,6-Oct-16
June,488,3,996,TRUE,25,6-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,26,11-Oct-16
October,487,-4,2455,TRUE,26,11-Oct-16
November,486,-2,2162,TRUE,26,11-Oct-16
December,485,-1,1900,TRUE,26,11-Oct-16
January,488,unc,1375,TRUE,26,11-Oct-16
February,488,unc,1343,TRUE,26,11-Oct-16
March,488,unc,1220,TRUE,26,11-Oct-16
April,485,-3,1082,TRUE,26,11-Oct-16
May,485,-3,1065,TRUE,26,11-Oct-16
June,485,-3,1015,TRUE,26,11-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,27,12-Oct-16
October,487,unc,2455,TRUE,27,12-Oct-16
November,486,unc,2162,TRUE,27,12-Oct-16
December,485,unc,1900,TRUE,27,12-Oct-16
January,488,unc,1375,TRUE,27,12-Oct-16
February,488,unc,1343,TRUE,27,12-Oct-16
March,488,unc,1220,TRUE,27,12-Oct-16
April,485,unc,1082,TRUE,27,12-Oct-16
May,485,unc,1065,TRUE,27,12-Oct-16
June,485,unc,1015,TRUE,27,12-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,28,17-Oct-16
October,491,4,2455,TRUE,28,17-Oct-16
November,482,-4,2162,TRUE,28,17-Oct-16
December,482,-3,1900,TRUE,28,17-Oct-16
January,485,-3,1375,TRUE,28,17-Oct-16
February,485,-3,1343,TRUE,28,17-Oct-16
March,485,-3,1220,TRUE,28,17-Oct-16
April,485,unc,1082,TRUE,28,17-Oct-16
May,485,unc,1065,TRUE,28,17-Oct-16
June,485,unc,1015,TRUE,28,17-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,29,18-Oct-16
October,491,unc,2575,TRUE,29,18-Oct-16
November,480,-2,2293,TRUE,29,18-Oct-16
December,482,unc,1962,TRUE,29,18-Oct-16
January,485,unc,1458,TRUE,29,18-Oct-16
February,485,unc,1418,TRUE,29,18-Oct-16
March,485,unc,1293,TRUE,29,18-Oct-16
April,485,unc,1139,TRUE,29,18-Oct-16
May,485,unc,1130,TRUE,29,18-Oct-16
